Classificação;Nome do Filme;Nota IMDB;Quantidade de Votos
153;Yojimbo, o Guarda-Costas;8.2;131K
154;Monty Python em Busca do Cálice Sagrado;8.2;570K
155;Fugindo do Inferno;8.2;259K
156;Procurando Nemo;8.2;1.1M
157;Rashomon;8.2;180K
158;Os Suspeitos;8.2;808K
159;O Castelo Animado;8.2;448K
160;O Homem Elefante;8.2;258K
161;Chinatown;8.1;349K
162;Disque M para Matar;8.2;189K
163;...E o Vento Levou;8.2;334K
164;V de Vingança;8.2;1.2M
165;Jogos, Trapaças e Dois Canos Fumegantes;8.1;616K
166;O Segredo dos Seus Olhos;8.2;222K
167;Divertida Mente;8.1;784K
168;Touro Indomável;8.1;380K
169;Três Anúncios para um Crime;8.1;554K
170;Trainspotting: Sem Limites;8.1;725K
171;A Ponte do Rio Kwai;8.1;233K
172;Homem-Aranha: Sem Volta para Casa;8.2;877K
173;Fargo: Uma Comédia de Erros;8.1;726K
174;Klaus;8.2;189K
175;Prenda-Me se for Capaz;8.1;1.1M
176;Guerreiro;8.1;497K
177;Godzilla Minus One;8.3;48K
178;Gran Torino;8.1;814K
179;Meu Amigo Totoro;8.1;380K
180;Menina de Ouro;8.1;721K
181;Harry Potter e as Relíquias da Morte - Parte 2;8.1;947K
182;Filhos do Paraíso;8.2;81K
183;12 Anos de Escravidão;8.1;741K
184;Blade Runner - O Caçador de Androides;8.1;822K
185;Antes do Amanhecer;8.1;339K
186;Ben-Hur;8.1;253K
187;O Grande Hotel Budapeste;8.1;886K
188;Barry Lyndon;8.1;183K
189;Garota Exemplar;8.1;1.1M
190;Até o Último Homem;8.1;593K
191;Em Busca do Ouro;8.1;119K
192;Em Nome do Pai;8.1;187K
193;Memórias de um Assassino;8.1;216K
194;Sociedade dos Poetas Mortos;8.1;545K
195;Relatos Selvagens;8.1;216K
196;Sindicato de Ladrões;8.1;165K
197;A General;8.1;98K
198;O Franco Atirador;8.1;362K
199;Mad Max: Estrada da Fúria;8.1;1.1M
200;Monstros S.A.;8.1;978K
201;Bancando o Águia;8.2;57K
202;O 3º Homem;8.1;182K
203;O Salário do Medo;8.2;66K
204;Morangos Silvestres;8.1;115K
205;Tubarão;8.1;659K
206;Como Treinar o Seu Dragão;8.1;799K
207;Mary e Max - Uma Amizade Diferente;8.1;187K
208;A Mulher Faz o Homem;8.1;121K
209;Ratatouille;8.1;823K
210;Ford vs;8.1;472K
211;Era uma Vez em Tóquio;8.1;68K
212;O Grande Lebowski;8.1;859K
213;O Sétimo Selo;8.1;198K
214;O Quarto de Jack;8.1;450K
215;Rocky, um Lutador;8.1;628K
216;Logan;8.1;830K
217;Spotlight: Segredos Revelados;8.1;502K
218;Hotel Ruanda;8.1;372K
219;Platoon;8.1;439K
220;O Exterminador do Futuro;8.1;923K
221;O Martírio de Joana D'Arc;8.1;61K
222;Antes do Pôr do Sol;8.1;288K
223;O Ódio;8.1;196K
224;Os Melhores Anos de Nossa Vida;8.1;70K
225;Piratas do Caribe: A Maldição do Pérola Negra;8.1;1.2M
226;O Exorcista;8.1;454K
227;Rush: No Limite da Emoção;8.1;513K
228;Jai Bhim;8.7;217K
229;Rede de Intrigas;8.1;170K
230;Conta Comigo;8.1;441K
231;O Mágico de Oz;8.1;428K
232;Os Incríveis;8.0;807K
233;Sempre ao Seu Lado;8.1;311K
234;A Criada;8.1;172K
235;Na Natureza Selvagem;8.1;658K
236;Meu Pai e Meu Filho;8.2;93K
237;A Noviça Rebelde;8.1;261K
238;As Vinhas da Ira;8.1;100K
239;Ser ou Não Ser;8.1;43K
240;A Batalha de Argel;8.1;66K
241;Feitiço do Tempo;8.0;684K
242;Amores Brutos;8.1;253K
243;Rebecca, a Mulher Inesquecível;8.1;147K
244;O Gigante de Ferro;8.1;227K
245;Rebeldia Indomável;8.1;188K
246;Histórias Cruzadas;8.1;492K
247;Aconteceu Naquela Noite;8.1;112K
248;Aladdin;8.0;466K
249;Dança com Lobos;8.0;290K
250;Paris, Texas;8.1;119K
